Rk,Name,Age,Tm,Lg,Lev,BA,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,OBP,SLG,OPS,TB,GDP,HBP,SH,SF
Kevin Alvarez,22,AVU,USAS,NCAA,.418,,37,172,141,36,59,13,0,4,46,3,1,23,17,.512,.596,1.107,84,,6,0,2,0
Zack Creekmore,--,EDG,NATH,NCAA,.418,,41,173,141,34,59,12,4,4,50,10,1,25,8,.503,.645,1.148,91,,1,4,2,0
Trent Smith,--,THI,PRES,NCAA,.418,,42,178,165,32,69,18,1,5,38,0,2,8,3,.433,.630,1.063,104,,0,0,5,1
Paul Winterbottom,--,STI,SIAC,NCAA,.418,,34,135,122,19,51,9,1,1,39,4,3,8,6,.451,.533,.984,65,,1,2,2,0
Jhalan Jackson,22,FSC,SSC,NCAA,.417,,45,208,175,51,73,13,2,20,72,2,1,16,31,.476,.857,1.333,150,,10,0,7,2
Brandon Overstreet,23,ERS,CCar,NCAA,.417,,52,245,218,62,91,22,2,11,61,9,3,18,29,.453,.688,1.141,150,,2,0,7,1
Kory Wisdom,--,QUI,GLVC,NCAA,.417,,57,248,206,53,86,8,0,3,29,6,3,29,25,.508,.500,1.008,103,,9,4,0,0
Alex Wojciechowski,21,UMD,NSUN,NCAA,.417,,51,221,187,60,78,19,2,12,57,9,4,25,37,.498,.733,1.230,137,,7,0,2,3
Terrance Worthy,--,ASU,SIAC,NCAA,.417,,41,132,108,31,45,12,2,0,22,20,2,13,19,.481,.565,1.045,61,,4,3,4,0
Austin Allen,21,FIT,SSC,NCAA,.415,,49,224,195,52,81,25,1,11,56,6,0,23,19,.469,.723,1.192,141,,1,0,5,4
Kevin Czarnecki,22,FHS,MIAA,NCAA,.415,,47,201,171,53,71,17,1,12,41,0,2,22,33,.495,.737,1.232,126,,5,3,0,1
Cory DeMedeiros,21,UMD,LEC,NCAA,.415,,42,180,159,40,66,19,2,10,43,10,4,12,22,.475,.748,1.223,119,,7,1,1,2
Alex Fife,21,MSU,RMAC,NCAA,.415,,53,237,195,58,81,15,1,7,37,7,1,32,16,.498,.610,1.108,119,,3,4,3,1
Adam Geiger,--,BLC,UMAC,NCAA,.415,,39,163,142,32,59,9,1,1,29,5,2,12,5,.479,.514,.993,73,,7,0,2,1
Tyler Gerling,--,JCU,OHAC,NCAA,.415,,32,141,118,32,49,14,2,2,36,5,1,14,19,.482,.619,1.101,73,,5,0,4,0
Justin Harris,22,ESU,MIAA,NCAA,.415,,55,260,224,69,93,25,5,4,39,27,8,21,28,.479,.625,1.104,140,,9,3,3,3
Kyle Powell,--,MDC,AMCC,NCAA,.415,,35,149,123,23,51,8,4,0,25,14,3,21,18,.517,.545,1.061,67,,5,0,0,1
Ryan Uhl,22,IUP,PSAC,NCAA,.415,,44,181,142,53,59,8,0,29,74,0,0,33,21,.536,1.085,1.620,154,,5,0,1,8
Craig Hoelzer,--,JHU,CENT,NCAA,.414,,44,197,174,36,72,13,2,4,53,3,0,19,20,.472,.580,1.053,101,,2,0,2,1
Brandon Jasper,--,AIL,CCIW,NCAA,.414,,40,193,162,49,67,13,1,0,19,11,3,22,12,.489,.506,.996,82,,4,3,2,0
Tyler Branneky,--,WMO,SLIA,NCAA,.413,,36,153,126,38,52,11,3,6,45,3,1,20,31,.503,.690,1.194,87,,5,0,2,1
Ryan Caparoni,--,CNJ,CSAC,NCAA,.413,,32,144,121,38,50,13,3,10,45,3,0,20,19,.507,.818,1.325,99,,3,0,0,3
Hayden Jones,21,VSU,GSC,NCAA,.413,,47,212,189,50,78,13,4,9,43,1,2,20,14,.472,.667,1.138,126,,2,0,1,0
Taylor Kohlwey,20,WLC,WIAC,NCAA,.413,,52,247,206,56,85,20,4,6,43,10,7,28,24,.496,.636,1.132,131,,9,1,3,6
Connor Tom,--,GET,CENT,NCAA,.413,,34,165,143,26,59,14,2,1,22,6,1,20,24,.485,.559,1.044,80,,1,0,1,0
James Weber,--,MUC,OHAC,NCAA,.413,,33,135,121,28,50,9,0,2,30,0,0,9,14,.451,.537,.988,65,,1,2,2,0
Sean Greene,--,WPI,NEWM,NCAA,.412,,32,142,131,41,54,10,2,7,27,3,3,9,14,.451,.679,1.130,89,,1,0,1,0
Chris Lowery,21,WSL,UAA,NCAA,.412,,50,226,204,55,84,9,2,5,67,26,3,13,13,.447,.549,.996,112,,4,0,5,2
