Name,Age,Tm,Lg,Lev,W,Aff,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Tyler Ferguson,22,LAR,AMCC,NCAA,9,,2,.818,3.28,4.18,12,10,,,0,0,79.2,85,37,29,4,17,1,75,6,0,2,345,1.280,9.6,0.5,1.9,8.5,4.41
Icezack Flemming,23,CLA,CCAA,NCAA,9,,2,.818,2.58,3.44,12,12,,,0,0,83.2,81,32,24,2,25,0,80,5,0,6,357,1.267,8.7,0.2,2.7,8.6,3.20
Kent Frantz,--,TSU,GLVC,NCAA,9,,3,.750,3.01,3.57,12,12,,,2,0,80.2,89,32,27,3,10,0,36,2,0,2,330,1.227,9.9,0.3,1.1,4.0,3.60
Cody Gardner,--,TSU,GLVC,NCAA,9,,5,.643,3.05,3.62,16,16,,,2,0,112.0,118,45,38,5,24,0,59,6,2,4,474,1.268,9.5,0.4,1.9,4.7,2.46
Colin Grove,--,WWH,WIAC,NCAA,9,,2,.818,2.02,2.13,12,12,,,2,0,84.2,71,20,19,3,10,0,50,1,0,1,330,0.957,7.5,0.3,1.1,5.3,5.00
Riley Groves,--,WJC,PRES,NCAA,9,,2,.818,2.17,3.66,13,11,,,3,0,66.1,61,27,16,1,7,0,45,9,1,2,270,1.025,8.3,0.1,0.9,6.1,6.43
Garrett Harrison,21,SCS,NSUN,NCAA,9,,0,1.000,2.18,2.78,12,12,,,3,0,74.1,73,23,18,3,17,1,74,6,1,5,312,1.211,8.8,0.4,2.1,9.0,4.35
Tyler Heitmann,21,BUS,MNIC,NCAA,9,,1,.900,3.05,4.43,11,10,,,0,0,65.0,67,32,22,5,19,0,68,4,0,8,282,1.323,9.3,0.7,2.6,9.4,3.58
Travis Hendry,--,ESU,MIAA,NCAA,9,,2,.818,4.35,4.85,16,13,,,0,0,72.1,88,39,35,9,21,1,53,8,0,8,337,1.507,10.9,1.1,2.6,6.6,2.52
Blake Hickman,21,IWA,BTen,NCAA,9,,2,.818,2.99,3.42,16,16,,,0,0,84.1,66,32,28,6,42,1,52,1,1,7,355,1.281,7.0,0.6,4.5,5.5,1.24
David Hill,21,SDO,WCC,NCAA,9,,3,.750,2.33,3.14,14,14,,,1,0,100.1,66,35,26,3,35,1,115,9,2,12,407,1.007,5.9,0.3,3.1,10.3,3.29
Derek Justice,--,MOC,CCar,NCAA,9,,3,.750,3.32,3.76,12,12,,,1,0,81.1,76,34,30,5,25,0,67,2,0,5,348,1.242,8.4,0.6,2.8,7.4,2.68
Ryan Kellogg,21,AZU,P12,NCAA,9,,2,.818,3.60,3.76,16,16,,,1,0,115.0,121,48,46,10,23,2,92,2,1,15,478,1.252,9.5,0.8,1.8,7.2,4.00
Matthew Kent,22,TAM,SEC,NCAA,9,,1,.900,2.76,3.31,19,14,,,0,2,98.0,103,36,30,4,12,2,84,6,0,1,397,1.173,9.5,0.4,1.1,7.7,7.00
Gunnar Kines,21,MOC,CCar,NCAA,9,,2,.818,3.26,3.63,15,14,,,0,0,96.2,90,39,35,11,24,1,121,9,0,4,405,1.179,8.4,1.0,2.2,11.3,5.04
Daniel Koger,21,UAH,GSC,NCAA,9,,1,.900,2.80,3.12,13,13,,,0,0,83.2,76,29,26,5,23,0,86,6,0,3,349,1.183,8.2,0.5,2.5,9.3,3.74
Austin Kretchmar,--,WJC,GLVC,NCAA,9,,3,.750,2.66,3.77,16,14,,,1,0,98.0,104,41,29,6,13,0,53,8,0,7,408,1.194,9.6,0.6,1.2,4.9,4.08
